Method,MeanSpeedAccuracy,MSDAccuracy,TSDAccuracy,MeanAngleAccuracy
"Decision Tree",0.86961038961039,0.907402597402597,0.722059369202226,0.857254174397032
"Bagged Tree",0.866133333333334,0.8736,0.8424,0.916533333333333
