ClassNum,ID,SegmentNumber,AvgSpeed,MSDPrev,TSD,AvgCosTheta,AvgDegTheta
3,"NINV32",1,1.67755733155315,85.8321361034483,4.86721083097768,-0.453527299434668,112.984080919311
1,"NINV32",2,1.03299859593324,35.6923595,2.59815096450462,-0.0451227550264808,88.4868229495927
2,"NINV33",1,0.988237410552118,31.3992254,3.49147973820963,-0.617909917860036,134.545319600139
2,"NINV34",1,0.646989727590933,17.0207306206897,3.17969145739668,-0.254123258250415,118.888352428992
3,"NINV34",2,0.856844548386826,42.3591923333333,5.35992465494842,-0.150503423547266,107.379679721116
2,"NINV35",1,0.50570889559182,11.1387284827586,2.57383795028242,-0.397380561719469,114.917223429434
2,"NINV35",2,1.17170282683033,35.4180247586207,2.95282347764313,-0.467023143689132,135.80219695427
3,"NINV35",3,1.2661686460842,41.4243574347826,3.7009434347083,-0.703588539498293,124.630401927298
3,"NINV36",1,1.58714784250478,62.922493,4.20678700677076,-0.685525952480087,136.783282700816
2,"NINV37",1,0.670150816259477,21.5065535172414,3.57153541918909,-0.39478154641885,121.5658773524
3,"NINV37",2,1.22460589345474,54.9964352121212,4.85225036390796,-0.250695698028232,97.2740275091184
3,"NINV38",1,1.62119453125464,63.389943,4.41354912413281,-0.773798047445084,155.710146181291
2,"NINV38",2,0.965783724150702,30.0852445517241,3.91264073126167,-0.483333458144008,134.365972916922
2,"NINV38",3,0.905828204019714,26.1854029642857,3.30785594973475,-0.538299034353815,146.596209806195
1,"NINV39",1,1.04468475373694,49.211896275862,3.84742537755217,-0.0357389857240275,65.0362987127934
2,"NINV39",2,0.0961381059547575,0.562407931034481,0.647152294802639,-0.283693650313089,123.769406340412
1,"NINV39",3,0.0465148115607717,0.197035517241379,0.310045170259927,0.456110275404172,46.0794423666273
2,"NINV39",4,0.423713575355682,8.11897066666667,2.12171804945892,-0.409846865883274,118.331555564977
2,"NINV40",1,1.10325975561631,29.0823390689655,2.92806723545291,-0.832900894014011,148.936360650145
2,"NINV40",2,0.760222310719271,17.722301862069,2.5343178180905,-0.513110587410172,136.055797230883
1,"NINV40",3,0.0814743992523023,0.378263448275861,0.313915519835636,0.401608856325181,49.1583681577343
1,"NINV40",4,0.0576821173192929,0.26212475862069,0.277098828792817,0.454428072876517,52.8838369924487
1,"NINV40",5,0.051751710055357,0.238291586206893,0.288479826270079,0.295737453439613,56.7909459354453
2,"NINV40",6,0.792502592571811,17.9929467586207,2.69037596574119,-0.648525092699367,147.141604955252
2,"NINV40",7,0.838740210536447,27.7232362068966,3.91782770736332,-0.467396976639949,105.262891226178
3,"NINV40",8,1.12312190085393,38.1967484347826,3.92414262261709,-0.509122822636777,127.543720299781
2,"NINV41",1,0.593894316282764,12.6835228965517,2.46077551626966,-0.438685788397127,132.99189602726
2,"NINV41",2,0.022877426972887,0.0255606206896545,0.114023092458741,-0.102170527393138,119.539618319785
2,"NINV41",3,0.0117340661128275,0.00485100000000045,0.033780231766787,-0.098126697551327,112.190251114724
1,"NINV41",4,0.0110501725783351,0.00637748275862097,0.0437953610069854,0.381212988992854,60.9195918803445
1,"NINV41",5,0.0126622072153363,0.00696868965517228,0.0381564944805243,0.0505930041687118,73.5904993375434
2,"NINV41",6,0.785169839648536,28.1019655714286,3.85596097968974,-0.364709422936991,110.917865219514
2,"NINV42",1,1.15646435501375,39.0366828965517,3.92872122439158,-0.680077931221975,141.409796669208
3,"NINV42",2,2.31738963278571,100.02720875,3.35305650684679,-0.755912540588631,143.79384471958
3,"NINV43",1,1.31241083847952,45.9594600689655,3.88214026299946,-0.745020968589476,150.794222733475
2,"NINV43",2,0.894423327819759,20.7239092068966,2.63759269689611,-0.695100756548465,138.793723668847
2,"NINV43",3,0.572365957666296,10.9402312413793,2.24992267967714,-0.578729607994722,130.086955653115
2,"NINV43",4,0.538120004230449,11.9551223103448,2.58765655184832,-0.720496902082731,130.194965419632
